id,"engname","korname","location",brewery_id
1,"GYUNGLIDAN","경리단점","서울시 용산구 녹사평대로54길 7",1
2,"ITAEWON","이태원역점","서울시 용산구 이태원로27가길 36",1
3,"TAP ROOM","탭룸","서울시 서대문구 성산로 519 대신빌딩 6층",3
4,"ITAEWON","이태원점","용산구 녹사평대로 244-1",4
5,"HONGDAE","홍대 놀이터점","마포구 와우산로19길 6-15",4
6,"JEJU TAPDONG","제주 탑동점","제주시 탑동로2길 3",4
7,"HAEUNDAE","해운대점","부산광역시 해운대구 해운대해변로 265번길 9 2층 ",5
8,"SEOMYEON","서면점","부산광역시 부산진구 부전2동 149-16",5
9,"NAMPO","남포점","부산광역시 중구 부평동1가 36-11",5
10,"WORKSHOP","공방","서울시 서초구 반포동 91-6",6
11,"TAP HOUSE","탭하우스","서울시 서초구 반포동 106-7",7
12,"HONGDAE","홍대점","서울시 마포구 와우산로19길 6-11",7
13,"KIMPO","김포점","경기도 김포시 초당로61번길 3",7
14,"MAIN PUB","본점","부산광역시 수영구 광남로 78 1층",8
15,"YEOUIDO","여의도점","서울시 영등포구 여의도동 13-2 삼보빌딩 201호",9
16,"GANGNAM","강남역점","서울시 강남구 역삼동 810-5 지하1층",9
17,"LOTTEWORLD","제2롯데월드점","서울시 송파구 올림픽로 300 (신천동, 캐주얼동 5층 5비03호)",9
18,"MAPO","마포점","서울시 마포구 새창로 11 공덕빌딩 지하1층",9
19,"SOOWON","수원점","경기도 수원시 세화로 124 수원롯데몰 5층",9
20,"MAIN PUB","본점","서울시 성수동 성수1가 27-12",10
21,"MAIN PUB","본점","강원도 강릉시 경강로 1961",11
22,"HONGDAE","홍대점","서울시 마포구 서교동 345-24",12
23,"DAEBONG","대봉점","대구시 중구 대봉동 55-95",12
24,"HOPMORI","홉머리","서울시 강남구 도산대로 11길 15",13
25,"MAIN PUB","본점","경기도 수원 영통구 망포동 570-5 뉴엘지프라자 2F",14
26,"MAIN PUB","본점","경기도 고양시 일산서구 이산포길 246-11",15
27,"MAIN PUB","본점","울산 남구 신복로22번길 28 지하1층",16
28,"MAIN PUB","본점","부산광역시 수영구 광안해변로 368",17
29,"TAP ROOM","탭룸","부산 수영구 남천바다로 38-1",18
30,"TAP HOUSE","탭하우스","서울시 중구 을지로 281 동대문디자인플라자 디자인장터 B1",19
31,"HERZEN","헤르젠","서울시 서초구 서초동 1317",19
32,"BEER PONGDANG","비어 퐁당","서울시 용산구 새창로 213 -17",20
33,"MADE IN PONGDANG","메이드 인 퐁당","서울시 녹사평대로 222-1",20
34,"MAIN PUB","본점","서울시 용산구 보광로59길 7",21
35,"MAIN PUB","본점","서울특별시 강남구 역삼로4길 16",22
36,"MAIN PUB","본점","울산 울주군 언양읍 반구대로 1305",23
37,"MAIN PUB","본점","서울특별시 송파구 오금로 15길 11 ",24
38,"MAIN PUB","본점","부산시 수영구 광안해변로 321",25
39,"HONGDAE","홍대점","서울특별시 마포구 서교동 395-19 캐슬프라하빌딩",26
40,"ITAEWON","이태원점","서울특별시 용산구 이태원로1길 9",26
41,"DINING AND LOUNGE","다이닝앤라운지","서울 용산구 이태원로19길 9",26
42,"YEONGTONG","영통점","경기도 수원시 영통구 영통동 1011-3",52
43,"HONGDAE","홍대점","서울 마포구 와우산로17길 20",52
44,"TAP ROOM","탭룸","서울특별시 마포구 합정동 368-27",28
45,"NAMSAN","남산점","서울시 용산구 녹사평대로238 명산빌딩1층",29
46,"PANGYO","판교점","경기도 성남시 분당구 백현동 591-9  ",29
47,"MAIN PUB","본점","서울특별시 용산구 이태원동 136-1 지하1층",30
48,"MAIN PUB","본점","서울시 노원구 공릉로 32길 54",31
49,"WOLPYUNG","대전 월평점","대전광역시 서구 청사서로 46",32
50,"BANGBAE","서울 방배점","서울시특별시 서초구 동작대로 22 삼미빌딩",32
51,"JOCHIWON","세종 조치원점","세종특별자치시 조치원읍 행복8길 7",32
52,"JEONMIN","대전 전민점","대전광역시 유성구 전민로70번길 37",32
53,"SOOSUNG","대구 수성점","대구광역시 수성구 들안로 355",32
54,"SSANGYONG","천안 쌍용점","충청남도 천안시 서북구 나사렛대길 22-6",32
55,"JONGCHON","세종 종촌점","세종특별자치시 달빛로 43 금강빌딩 2F 바이젠하우스",32
56,"MAIN PUB","본점","서울특별시 서초구 서초2동 1327-23 2층",33
57,"CENTRAL CITY","센트럴시티점","서울특별시 서초구 사평대로 205 센트럴시티 반포천 복개주차장",34
58,"CENTUM CITY","센텀시티점","부산 해운대구 센텀4로 15 신세계백화점 센텀시티몰 7층",34
59,"HANAM","하남점","경기도 하남시 미사대로 750 스타필드하남 1층",34
60,"PUB AND GRILL","펍앤그릴","서울시 용산구 이태원동 2동 225-67",36
61,"MAIN PUB","본점","서울특별시 강남구 도산대로 11길 15",37
62,"MAIN PUB","본점","서울특별시 동대문구 제기동 148-20 B1",38
63,"MAIN PUB","본점","제주 제주시 청귤로3길 42-7",39
64,"SEOHYEON","서현점","경기도 성남시 분당구 분당로53번길 15 산호트윈스",40
65,"SOONAE","수내점","경기도 성남시 분당구 황새울로240번길 10-3",40
66,"MAIN PUB","본점","경기도 의정부시 신흥로 224",41
67,"MAIN PUB","본점","제주시 연동 신대로 16길, 44",42
68,"MAIN PUB","본점","경기도 오산시 오산로 290번길 4",43
69,"MAIN PUB","본점","충청남도 아산시 음봉면 동암리 304-8",44
70,"MAIN PUB","본점","전라남도 담양군 담양읍 삼다리 23-1",45
71,"MAIN PUB","본점","전라북도 고창군 부안면 복분자로 434-129 ",46
72,"ONCHUN","온천점","부산광역시 동래구 온천천로 5",47
73,"CITY HALL","시청점","부산광역시 연제구 거제천로118번길 22",47
74,"MAIN PUB","본점","강원도 원주시 남원로 642",48
75,"MAIN PUB","본점","서웉특별시 강남구 신사동 510-9",49
76,"RICH BRAU","리치 브로이","부산 동래구 사직로 48 호영빌딩",50
77,"WAUZEN BRAU","바우젠 브로이","부산광역시 북구 화명신도시로 127 범서미라클",50
78,"GANGNAM","강남점","서울특별시 서초구 서초동 1317-31",51
79,"JONGNO","종로점","서울특별시 종로구 청진동 136번지 삼공빌딩 ",51
80,"SEOCHO","서초점","서울특별시 서초구 서초동 1550-8번지 호원빌딩 1층",51
81,"SANGDANG","청주 상당점","충청북도 청주시 상당구 용담동 385번지 2층",51
82,"SAMSUNG","삼성점","서울특별시 강남구 대치동 943-30 대연빌딩 지하1층",51
83,"MAIN PUB","본점","서울 강남구 대치동 896-27",53
